"","Date","Experiment","Cell Number","File Name","Folder","Cell Line","Condition","Frequency","Good?","Condition 3","variable","value","unique_id_cell"
"100",2021-02-24,"20210224",6,"21224042","HDF29c7_Expanded.Maturated_Tyr_2Hz","LQT1_R190W","Expanded.Maturated","2Hz","Yes","Tyr","APD 90 (ms)",240.68,"20210224 Cell_ 6 _ HDF29c7"
"101",2021-02-24,"20210224",6,"21224043","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","Ediast (mV)",-56.5842868631718,"20210224 Cell_ 6 _ HDF29c7"
"102",2021-02-24,"20210224",6,"21224043","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APA (mV)",123.367730956753,"20210224 Cell_ 6 _ HDF29c7"
"103",2021-02-24,"20210224",6,"21224043","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","dV/dt max y (V/s)",245.483386777665,"20210224 Cell_ 6 _ HDF29c7"
"104",2021-02-24,"20210224",6,"21224043","HDF29c7_Expanded.Maturated_Tyr_3.33Hz","LQT1_R190W","Expanded.Maturated","3.33Hz","Yes","Tyr","APD 90 (ms)",197.2,"20210224 Cell_ 6 _ HDF29c7"
"105",2021-02-24,"20210224",14,"21224075","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","Ediast (mV)",-55.7922336781361,"20210224 Cell_ 14 _ HDF29c7"
"106",2021-02-24,"20210224",14,"21224075","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APA (mV)",124.15160543124,"20210224 Cell_ 14 _ HDF29c7"
"107",2021-02-24,"20210224",14,"21224075","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","dV/dt max y (V/s)",204.467763725801,"20210224 Cell_ 14 _ HDF29c7"
"108",2021-02-24,"20210224",14,"21224075","HDF29c7_Expanded.Maturated_Tyr_0.5Hz","LQT1_R190W","Expanded.Maturated","0.5Hz","Yes","Tyr","APD 90 (ms)",238.72,"20210224 Cell_ 14 _ HDF29c7"
"109",2021-02-24,"20210224",14,"21224076","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","Ediast (mV)",-58.013913260112,"20210224 Cell_ 14 _ HDF29c7"
"110",2021-02-24,"20210224",14,"21224076","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","APA (mV)",126.190179553163,"20210224 Cell_ 14 _ HDF29c7"
"111",2021-02-24,"20210224",14,"21224076","HDF29c7_Expanded.Maturated_Tyr_1Hz","LQT1_R190W","Expanded.Maturated","1Hz","Yes","Tyr","dV/dt max y (V/s)",214.233388261959,"20210224 Cell_ 14 _ HDF29c7"
