"","Voltage","Cell","Current Density","Group"
"157",20,"20210622_Cell13_WTC-11",-0.875334412081113,"WT"
"158",20,"20210622_Cell14_WTC-11",0.69316276813891,"WT"
"159",20,"20210622_Cell15_WTC-11",0.104798450132606,"WT"
"160",20,"20210622_Cell16_WTC-11",11.3773836046015,"WT"
"161",20,"20210623_Cell5_WTC-11",2.2226871309778,"WT"
"162",20,"20210623_Cell6_WTC-11",3.46142512737498,"WT"
"163",20,"20210623_Cell7_WTC-11",0.751374476664775,"WT"
"164",20,"20210723_Cell13_WTC-11",0.767375040252906,"WT"
"165",20,"20210723_Cell18_WTC-11",4.55546694724069,"WT"
"166",20,"20210726_Cell2_WTC-11",NA,"WT"
"167",20,"20210726_Cell7_WTC-11",1.32367874925489,"WT"
"168",20,"20210802_Cell7_WTC-11",0.580094588477067,"WT"
"169",30,"20210413_Cell2_WTC-11",4.77028634352329,"WT"
"170",30,"20210413_Cell3_WTC-11",1.50763221206994,"WT"
"171",30,"20210413_Cell4_WTC-11",3.32178297393902,"WT"
"172",30,"20210505_Cell1_WTC-11",2.55659900134123,"WT"
"173",30,"20210505_Cell5_WTC-11",NA,"WT"
"174",30,"20210505_Cell6_WTC-11",NA,"WT"
"175",30,"20210622_Cell2_WTC-11",9.79416296617038,"WT"
"176",30,"20210622_Cell4_WTC-11",0.359500911500717,"WT"
"177",30,"20210622_Cell7_WTC-11",NA,"WT"
"178",30,"20210622_Cell8_WTC-11",3.12266879955799,"WT"
"179",30,"20210622_Cell9_WTC-11",2.92137092456483,"WT"
"180",30,"20210622_Cell12_WTC-11",1.46065819318469,"WT"
"181",30,"20210622_Cell13_WTC-11",-0.250390326135236,"WT"
"182",30,"20210622_Cell14_WTC-11",0.677843199064057,"WT"
"183",30,"20210622_Cell15_WTC-11",0.937370266482802,"WT"
"184",30,"20210622_Cell16_WTC-11",13.1985965103888,"WT"
"185",30,"20210623_Cell5_WTC-11",2.32553340263792,"WT"
"186",30,"20210623_Cell6_WTC-11",3.72162716087597,"WT"
"187",30,"20210623_Cell7_WTC-11",0.888772655177757,"WT"
