,21728047
Time,Voltage
96.40625,-25.43334961
96.6015625,-22.34802246
96.8046875,-19.30541992
97,-24.14245605
97.203125,-42.69104004
97.40625,-49.76501465
97.6015625,-51.94702148
97.8046875,-52.65197754
98,-52.86254883
98.203125,-52.99377441
98.40625,-53.0670166
98.6015625,-52.92358398
98.8046875,-52.85949707
99,-52.8503418
99.203125,-52.71911621
99.40625,-52.60620117
99.6015625,-52.57873535
99.8046875,-52.46582031
100,-52.3223877
100.203125,-52.25524902
100.40625,-52.11486816
100.6015625,-52.0111084
100.8046875,-51.8951416
101,-51.72729492
101.203125,-51.55029297
101.40625,-51.38549805
101.6015625,-51.17797852
101.8046875,-50.96740723
102,-50.75378418
102.203125,-50.5279541
102.40625,-50.30212402
102.6015625,-50.09765625
102.8046875,-49.8260498
103,-49.52087402
103.203125,-49.21264648
103.40625,-48.75793457
103.6015625,-48.23608398
103.8046875,-47.66540527
104,-47.09472656
104.203125,-46.42944336
104.40625,-45.44372559
104.6015625,-44.21081543
104.8046875,-42.42248535
105,-39.30053711
105.203125,-29.46472168
105.40625,5.465698242
105.6015625,32.78198242
105.8046875,42.73681641
106,45.77331543
106.203125,46.56982422
106.40625,46.53015137
106.6015625,46.23718262
106.8046875,45.92285156
107,45.56274414
107.203125,45.3125
107.40625,45.09277344
107.6015625,44.83337402
107.8046875,44.73266602
108,44.56481934
108.203125,44.44274902
108.40625,44.3145752
108.6015625,44.26879883
108.8046875,44.27185059
109,44.3359375
109.203125,44.26879883
109.40625,44.11010742
109.6015625,44.22302246
109.8046875,44.24438477
110,44.22912598
110.203125,44.27185059
110.40625,44.26574707
110.6015625,44.29626465
110.8046875,44.41223145
111,44.50073242
111.203125,44.49462891
111.40625,44.49768066
111.6015625,44.54040527
111.8046875,44.67468262
112,44.7845459
112.203125,44.78759766
112.40625,44.85778809
112.6015625,45.02258301
112.8046875,45.0592041
113,45.12634277
113.203125,45.16296387
113.40625,45.1751709
113.6015625,45.21179199
113.8046875,45.25756836
114,45.33996582
114.203125,45.45593262
114.40625,45.50476074
114.6015625,45.49255371
114.8046875,45.58410645
115,45.52612305
115.203125,45.59631348
115.40625,45.63293457
115.6015625,45.63293457
115.8046875,45.68786621
116,45.71838379
116.203125,45.7611084
116.40625,45.75195313
116.6015625,45.7611084
116.8046875,45.84655762
117,45.85266113
117.203125,45.88317871
117.40625,45.87097168
117.6015625,45.89233398
117.8046875,45.93200684
118,46.01135254
118.203125,46.02661133
118.40625,46.06018066
118.6015625,46.04492188
118.8046875,46.04187012
119,46.09069824
119.203125,46.13952637
119.40625,46.18225098
119.6015625,46.12731934
119.8046875,46.17004395
120,46.23413086
120.203125,46.21582031
120.40625,46.15783691
120.6015625,46.20056152
120.8046875,46.23718262
121,46.29516602
121.203125,46.21582031
121.40625,46.2097168
121.6015625,46.22497559
121.8046875,46.23413086
122,46.26464844
122.203125,46.29821777
122.40625,46.29211426
122.6015625,46.26159668
122.8046875,46.30126953
123,46.32568359
123.203125,46.35009766
123.40625,46.29516602
123.6015625,46.25854492
123.8046875,46.29516602
124,46.36230469
124.203125,46.2890625
124.40625,46.24633789
124.6015625,46.21582031
124.8046875,46.26159668
125,46.32263184
125.203125,46.32263184
125.40625,46.2890625
125.6015625,46.27380371
125.8046875,46.30432129
126,46.2890625
126.203125,46.26464844
126.40625,46.19140625
126.6015625,46.17614746
126.8046875,46.13952637
127,46.16699219
127.203125,46.13342285
127.40625,46.19750977
127.6015625,46.16699219
127.8046875,46.17614746
128,46.16088867
128.203125,46.15783691
128.40625,46.10900879
128.6015625,46.08154297
128.8046875,46.13037109
129,46.08459473
129.203125,46.13037109
129.40625,46.1151123
129.6015625,46.14562988
129.8046875,46.15478516
130,46.09375
130.203125,46.12731934
130.40625,46.08154297
130.6015625,46.07543945
130.8046875,46.04492188
131,46.06933594
131.203125,46.02966309
131.40625,46.04492188
131.6015625,46.0723877
131.8046875,46.02355957
132,45.99304199
132.203125,45.90148926
132.40625,45.92895508
132.6015625,45.92895508
132.8046875,45.93200684
133,45.91674805
133.203125,45.9197998
133.40625,45.92590332
133.6015625,45.85876465
133.8046875,45.85876465
134,45.88928223
134.203125,45.88317871
