,WT 21504029,R190W 21408046,R594Q 21615057,JLNS 21712024
Time,WT,LQT1_R190W,LQT1_R594Q,Compound JLNS
72.59999847,35.57128906,28.0090332,38.73291016,39.48059082
72.80000305,35.49194336,27.88696289,38.65356445,39.41955566
73,35.41259766,27.76794434,38.5559082,39.34936523
73.19999695,35.29052734,27.64892578,38.51013184,39.31884766
73.40000153,35.18371582,27.49328613,38.49487305,39.24865723
73.59999847,35.09521484,27.38037109,38.42468262,39.2791748
73.80000305,35.02197266,27.27355957,38.26293945,39.21813965
74,34.95788574,27.14538574,38.16223145,39.18457031
74.19999695,34.84802246,27.03552246,38.06152344,39.09912109
74.40000153,34.77172852,26.91650391,37.98828125,39.01367188
74.59999847,34.67102051,26.7791748,37.92114258,38.97094727
74.80000305,34.56726074,26.67236328,37.90283203,38.99841309
75,34.42993164,26.46789551,37.83569336,38.94348145
75.19999695,34.36889648,26.33972168,37.78991699,38.90991211
75.40000153,34.24682617,26.15966797,37.72277832,38.85803223
75.59999847,34.16137695,26.07421875,37.67700195,38.83361816
75.80000305,34.03015137,25.93994141,37.59155273,38.7878418
76,33.95080566,25.79650879,37.51831055,38.7298584
76.19999695,33.84094238,25.66223145,37.49084473,38.63830566
76.40000153,33.74328613,25.50048828,37.47253418,38.58947754
76.59999847,33.67614746,25.32958984,37.46337891,38.55895996
76.80000305,33.56933594,25.15258789,37.38098145,38.42468262
77,33.43811035,24.98474121,37.33825684,38.43688965
77.19999695,33.34960938,24.81384277,37.29248047,38.36364746
77.40000153,33.25805664,24.66125488,37.2467041,38.35144043
77.59999847,33.203125,24.55749512,37.109375,38.33618164
77.80000305,33.05664063,24.40185547,37.17041016,38.25378418
78,32.96813965,24.23400879,37.10021973,38.21716309
78.19999695,32.88269043,24.12109375,37.02087402,38.11340332
78.40000153,32.83081055,23.95629883,36.89575195,38.03710938
78.59999847,32.65686035,23.82507324,36.82861328,37.93029785
78.80000305,32.57446289,23.66333008,36.74316406,37.92724609
79,32.49511719,23.51379395,36.6027832,37.89978027
79.19999695,32.38220215,23.36730957,36.51428223,37.78991699
79.40000153,32.33337402,23.23303223,36.48986816,37.7532959
79.59999847,32.31506348,23.06213379,36.41357422,37.66479492
79.80000305,32.17468262,22.89428711,36.328125,37.65563965
80,32.05566406,22.73254395,36.26708984,37.59155273
80.19999695,31.96105957,22.58300781,36.22741699,37.5579834
80.40000153,31.89697266,22.40600586,36.16333008,37.53051758
80.59999847,31.78405762,22.25036621,36.1328125,37.43591309
80.80000305,31.73522949,22.09777832,36.0534668,37.39013672
81,31.63146973,21.9329834,35.96191406,37.36572266
81.19999695,31.49108887,21.78649902,35.91003418,37.29858398
81.40000153,31.39038086,21.63696289,35.80627441,37.22839355
81.59999847,31.31713867,21.49658203,35.75439453,37.22229004
81.80000305,31.18896484,21.33789063,35.66589355,37.16125488
82,31.08215332,21.18835449,35.55603027,37.13378906
82.19999695,30.95703125,21.0723877,35.50720215,37.07275391
82.40000153,30.81665039,20.89538574,35.50109863,37.01477051
82.59999847,30.64880371,20.73364258,35.40649414,36.97509766
82.80000305,30.53588867,20.55664063,35.35461426,36.92321777
83,30.40771484,20.37963867,35.26306152,36.83776855
83.19999695,30.28869629,20.19042969,35.14709473,36.78894043
83.40000153,30.18188477,20.08972168,35.10742188,36.73095703
83.59999847,30.09643555,19.94018555,35.11352539,36.70349121
83.80000305,29.97436523,19.78759766,34.99450684,36.66992188
84,29.91027832,19.62890625,34.9609375,36.57836914
84.19999695,29.81567383,19.48852539,34.89990234,36.53259277
84.40000153,29.72717285,19.37255859,34.78088379,36.5234375
84.59999847,29.6081543,19.2565918,34.73510742,36.42883301
84.80000305,29.51965332,19.13452148,34.69543457,36.30981445
85,29.40979004,19.00634766,34.63134766,36.26708984
85.19999695,29.27246094,18.87817383,34.45739746,36.14196777
85.40000153,29.18395996,18.7286377,34.39331055,36.12365723
85.59999847,29.05273438,18.58520508,34.30175781,36.09619141
85.80000305,28.90930176,18.40209961,34.17358398,36.04125977
86,28.7902832,18.2220459,34.11254883,36.01989746
86.19999695,28.65905762,18.05725098,34.1003418,35.92224121
86.40000153,28.5736084,17.93823242,33.97827148,35.90087891
86.59999847,28.4942627,17.74597168,33.87145996,35.84289551
86.80000305,28.33557129,17.5994873,33.79211426,35.73913574
87,28.19213867,17.45910645,33.72192383,35.74523926
87.19999695,28.06396484,17.32177734,33.64562988,35.6842041
87.40000153,27.92663574,17.14172363,33.55102539,35.6048584
87.59999847,27.78320313,16.95556641,33.46252441,35.5255127
87.80000305,27.64587402,16.77856445,33.31604004,35.43395996
88,27.54516602,16.63818359,33.26416016,35.31799316
88.19999695,27.39868164,16.46728516,33.19396973,35.25695801
88.40000153,27.23999023,16.30249023,33.07495117,35.15319824
88.59999847,27.0690918,16.18347168,33.06884766,35.09521484
88.80000305,26.90124512,16.05834961,32.9864502,34.99145508
89,26.79443359,15.93322754,32.92236328,34.92126465
89.19999695,26.65100098,15.77453613,32.90100098,34.83581543
89.40000153,26.53198242,15.62194824,32.86132813,34.75036621
89.59999847,26.40991211,15.43579102,32.81555176,34.6862793
89.80000305,26.26037598,15.28625488,32.76062012,34.61608887
90,26.14440918,15.10009766,32.70568848,34.55505371
90.19999695,26.04064941,14.86206055,32.65991211,34.44824219
90.40000153,25.84533691,14.70947266,32.55615234,34.37194824
90.59999847,25.7019043,14.54162598,32.45544434,34.33227539
90.80000305,25.57067871,14.34326172,32.38830566,34.30480957
91,25.37841797,14.15710449,32.2265625,34.25292969
91.19999695,25.32958984,14.02282715,32.22961426,34.18273926
