Control Time [ms],WT,KCNQ1-p.R190W,KCNQ1-p.R594Q,KCNQ1-p.R190W & KCNQ1-p.R594Q,KCNQ1-p.A341V,KCNH2-p.R366X,KCNH2-p.A561V
10.4,19.07328,74.20698,-93.101448,142.15554,-20.742192,-34.510716,-49.76934
10.5,19.3713,73.670544,-93.041844,140.903856,-20.384568,-34.510716,-50.305776
10.6,19.252092,72.71688,-93.339864,140.129004,-20.384568,-34.57032,-49.590528
10.7,17.940804,71.703612,-93.161052,139.056132,-20.146152,-34.749132,-49.650132
10.8,17.463972,70.92876,-92.922636,138.5793,-20.146152,-34.689528,-49.948152
10.9,17.642784,70.809552,-92.68422,138.28128,-20.384568,-34.629924,-50.36538
11,17.046744,69.915492,-92.624616,137.923656,-20.026944,-34.451112,-51.021024
11.1,16.450704,68.84262,-92.863032,136.910388,-19.66932,-34.451112,-50.544192
11.2,16.152684,68.008164,-92.922636,136.314348,-19.907736,-34.451112,-49.709736
11.3,15.735456,67.114104,-93.339864,135.658704,-20.146152,-34.510716,-50.06736
11.4,15.556644,66.518064,-92.565012,135.5991,-19.66932,-34.57032,-50.842212
11.5,15.616248,65.981628,-92.147784,135.00306,-19.66932,-34.451112,-50.842212
11.6,15.020208,65.385588,-92.445804,134.645436,-19.96734,-34.2723,-50.96142
11.7,14.483772,64.789548,-92.803428,133.81098,-19.96734,-34.391508,-51.378648
11.8,14.424168,63.955092,-92.98224,131.844048,-19.609716,-34.629924,-50.96142
11.9,14.066544,63.299448,-92.565012,130.711572,-19.66932,-34.2723,-50.96142
12,14.185752,62.703408,-92.326596,130.592364,-19.550112,-33.97428,-50.901816
12.1,13.828128,61.98816,-92.266992,130.055928,-19.3713,-33.97428,-50.901816
12.2,13.11288,61.69014,-92.505408,128.74464,-19.252092,-33.735864,-51.676668
12.3,12.81486,61.213308,-92.028576,127.612164,-19.07328,-34.033884,-51.199836
12.4,12.874464,60.676872,-91.849764,127.433352,-19.013676,-33.914676,-50.96142
12.5,13.053276,59.961624,-92.3862,127.016124,-19.07328,-33.497448,-51.617064
12.6,13.172484,59.425188,-92.3862,125.645232,-18.894468,-33.735864,-51.319044
12.7,12.099612,59.186772,-91.909368,124.751172,-18.715656,-33.735864,-51.676668
12.8,11.801592,58.70994,-91.611348,124.214736,-19.07328,-33.914676,-52.034292
12.9,11.801592,58.1139,-91.849764,123.439884,-18.77526,-33.67626,-51.736272
13,11.980404,57.577464,-92.207388,122.903448,-18.536844,-33.735864,-51.915084
13.1,11.682384,56.743008,-91.79016,122.367012,-18.47724,-33.67626,-51.497856
13.2,11.265156,55.908552,-91.79016,121.949784,-17.940804,-33.795468,-51.736272
13.3,11.02674,55.550928,-91.551744,121.651764,-18.000408,-33.914676,-52.093896
13.4,10.788324,55.312512,-91.968972,120.578892,-18.536844,-33.914676,-52.093896
13.5,10.967136,55.014492,-91.730556,120.10206,-18.238824,-33.735864,-51.795876
13.6,10.371096,53.882016,-91.19412,119.446416,-17.940804,-33.497448,-51.676668
13.7,9.83466,53.285976,-91.372932,118.01592,-18.119616,-33.914676,-51.378648
13.8,9.894264,53.166768,-92.028576,117.7179,-18.17922,-33.795468,-51.736272
13.9,9.894264,53.04756,-91.968972,117.7179,-18.17922,-33.557052,-52.391916
14,9.953868,52.332312,-91.253724,117.002652,-18.060012,-33.67626,-51.55746
14.1,9.53664,51.55746,-91.19412,115.452948,-17.761992,-33.557052,-52.034292
14.2,9.23862,51.080628,-91.19412,115.274136,-17.642784,-33.437844,-51.795876
14.3,9.417432,50.36538,-91.253724,114.916512,-17.463972,-33.557052,-51.319044
14.4,9.357828,49.948152,-91.253724,113.486016,-17.523576,-33.914676,-51.676668
14.5,9.059808,49.948152,-91.19412,113.664828,-17.106348,-33.37824,-51.915084
14.6,9.000204,49.292508,-91.074912,112.770768,-17.463972,-33.08022,-52.74954
14.7,8.9406,48.696468,-91.015308,111.638292,-17.404368,-33.318636,-52.511124
14.8,9.000204,48.517656,-91.134516,111.16146,-17.165952,-33.318636,-52.1535
14.9,8.880996,48.338844,-91.074912,110.2674,-16.808328,-33.318636,-52.511124
15,8.761788,47.623596,-91.79016,109.254132,-17.225556,-32.841804,-52.45152
15.1,8.702184,47.027556,-91.19412,109.37334,-17.28516,-32.722596,-52.391916
15.2,8.64258,46.610328,-90.955704,108.896508,-16.629516,-32.662992,-52.272708
15.3,8.523372,46.014288,-91.730556,108.121656,-16.68912,-32.662992,-52.093896
15.4,8.225352,45.89508,-91.730556,107.346804,-16.748724,-32.901408,-52.272708
15.5,8.165748,45.477852,-90.8961,106.69116,-16.68912,-32.662992,-51.85548
15.6,7.986936,44.762604,-90.836496,106.869972,-16.867932,-32.48418,-52.332312
15.7,8.04654,44.703,-91.372932,105.916308,-16.808328,-32.424576,-52.1535
15.8,8.106144,44.40498,-91.19412,105.022248,-16.808328,-32.18616,-51.974688
15.9,7.927332,43.80894,-90.59808,104.783832,-16.212288,-31.947744,-51.795876
16,7.688916,43.570524,-90.8961,104.128188,-16.212288,-32.305368,-51.736272
16.1,7.510104,43.272504,-91.134516,103.532148,-16.68912,-32.364972,-52.093896
16.2,8.04654,42.855276,-91.19412,103.41294,-16.271892,-32.305368,-51.85548
16.3,8.284956,42.31884,-90.30006,102.8169,-16.212288,-32.305368,-51.974688
16.4,7.808124,41.961216,-90.419268,101.863236,-16.09308,-32.18616,-52.511124
16.5,7.74852,41.305572,-90.776892,101.02878,-15.854664,-32.245764,-52.630332
16.6,8.04654,40.888344,-90.240456,100.253928,-15.973872,-32.18616,-52.332312
16.7,7.927332,41.007552,-89.823228,99.717492,-15.616248,-32.18616,-52.272708
16.8,7.629312,40.649928,-90.121248,99.896304,-15.318228,-32.245764,-52.928352
16.9,7.510104,40.2327,-90.30006,99.777096,-15.675852,-31.828536,-52.809144
17,7.331292,40.2327,-89.942436,99.359868,-15.139416,-31.88814,-53.04756
17.1,7.569708,39.815472,-89.882832,98.763828,-14.960604,-32.007348,-52.511124
17.2,7.688916,38.981016,-89.882832,97.571748,-15.377832,-31.828536,-52.1535
17.3,7.4505,39.159828,-89.882832,97.273728,-15.139416,-31.828536,-52.1535
17.4,7.390896,38.44458,-90.00204,98.167788,-15.139416,-31.709328,-52.034292
17.5,7.510104,38.325372,-89.763624,97.214124,-15.49704,-31.649724,-52.213104
17.6,7.212084,38.027352,-89.70402,96.498876,-15.49704,-31.530516,-52.272708
17.7,7.510104,37.55052,-89.942436,96.320064,-15.616248,-31.709328,-52.868748
17.8,7.510104,37.2525,-90.180852,95.187588,-15.49704,-31.59012,-52.74954
17.9,7.033272,37.133292,-89.763624,94.293528,-15.377832,-31.2921,-52.570728
18,7.092876,36.775668,-89.346396,94.233924,-14.781792,-31.351704,-52.213104
18.1,7.212084,36.298836,-89.346396,94.17432,-15.079812,-31.351704,-51.915084
18.2,6.973668,35.345172,-89.584812,93.161052,-15.49704,-30.99408,-52.332312
18.3,6.675648,35.404776,-89.286792,92.565012,-15.139416,-31.113288,-51.974688
18.4,6.85446,35.404776,-89.048376,92.326596,-14.662584,-31.232496,-51.199836
18.5,6.735252,34.927944,-89.167584,92.624616,-14.722188,-31.172892,-52.034292
18.6,7.510104,34.749132,-89.167584,92.207388,-14.722188,-31.172892,-52.511124
18.7,7.629312,34.391508,-89.048376,91.432536,-14.960604,-31.053684,-52.1535
18.8,6.973668,34.033884,-88.571544,91.015308,-14.483772,-30.934476,-51.319044
18.9,7.092876,34.212696,-88.21392,91.015308,-14.722188,-30.39804,-52.093896
19,7.271688,34.033884,-88.333128,90.419268,-14.901,-30.755664,-52.213104
19.1,7.212084,33.735864,-88.690752,89.584812,-14.245356,-31.053684,-51.85548
19.2,6.735252,33.557052,-88.80996,89.70402,-14.543376,-31.053684,-52.332312
19.3,7.15248,32.901408,-88.392732,88.571544,-14.30496,-30.755664,-51.85548
19.4,7.15248,32.7822,-88.392732,87.9159,-13.887732,-30.815268,-51.497856
19.5,7.092876,32.603388,-88.154316,87.31986,-14.245356,-30.69606,-51.85548
19.6,6.794856,32.245764,-88.392732,87.141048,-14.185752,-30.159624,-51.497856
19.7,6.914064,32.305368,-88.750356,86.902632,-13.887732,-30.278832,-51.438252
19.8,6.85446,32.305368,-88.80996,86.187384,-14.066544,-30.576852,-52.332312
19.9,6.85446,31.59012,-87.9159,85.889364,-14.066544,-30.517248,-52.45152
20,7.390896,30.99408,-87.796692,85.53174,-13.530108,-30.159624,-51.319044
20.1,6.85446,31.411308,-87.796692,85.293324,-14.00694,-30.338436,-51.915084
20.2,6.85446,31.2921,-87.558276,84.63768,-14.245356,-30.219228,-52.272708
20.3,7.033272,30.576852,-87.61788,84.63768,-13.828128,-30.10002,-51.617064
20.4,7.092876,30.10002,-87.61788,84.697284,-13.887732,-30.219228,-50.723004
20.5,6.675648,30.10002,-87.737088,83.684016,-13.70892,-30.040416,-50.96142
20.6,6.794856,29.742396,-87.439068,83.266788,-13.291692,-29.980812,-51.497856
20.7,7.271688,29.682792,-87.498672,82.789956,-13.589712,-30.219228,-51.438252
20.8,7.4505,29.563584,-87.796692,82.730352,-13.649316,-29.682792,-50.96142
20.9,7.15248,29.384772,-87.677484,83.087976,-14.066544,-29.623188,-51.021024
21,6.616044,29.384772,-87.856296,82.670748,-13.70892,-30.040416,-51.438252
21.1,7.212084,28.967544,-87.61788,82.611144,-13.351296,-29.921208,-51.080628
21.2,7.808124,28.60992,-87.260256,82.074708,-13.351296,-29.861604,-51.55746
21.3,7.331292,28.3119,-87.31986,81.121044,-13.4109,-30.10002,-51.676668
21.4,7.092876,28.01388,-87.081444,81.121044,-13.589712,-29.623188,-51.319044
21.5,7.4505,27.835068,-87.081444,80.823024,-13.4109,-29.980812,-51.25944
21.6,7.15248,27.71586,-87.141048,80.226984,-13.11288,-29.682792,-51.438252
21.7,7.15248,27.358236,-86.664216,79.750152,-12.934068,-29.20596,-51.25944
21.8,7.569708,27.239028,-86.783424,79.809756,-13.11288,-29.20596,-51.25944
21.9,7.331292,27.179424,-86.962236,79.27332,-12.81486,-29.086752,-51.55746
22,7.4505,27.358236,-86.246988,78.915696,-12.874464,-29.265564,-51.378648
