Time,Score0,Score1,Score2,Score3
,2.801388,0.003457032,0.018238824,-0.000834456
,2.38416,-0.001847724,0.018119616,-0.004589508
,0.89406,-0.000834456,0.01847724,-0.00774852
,1.847724,0.003457032,0.021040212,-0.008404164
,0.834456,0.003933864,0.02324556,-0.004947132
,0.29802,0.002622576,0.017404368,-0.006735252
,-0.834456,-0.001132476,0.01102674,-0.006973668
,0.417228,-0.00387426,0.021338232,-0.005900796
,3.695448,0.000059604,0.0253317,-0.006914064
,1.728516,-0.001966932,0.02145744,-0.005006736
,-0.357624,-0.002264952,0.020086548,-0.006020004
,0.29802,0.00059604,0.020980608,-0.002324556
